track_name,artist_name,popularity,danceability,energy,valence
自己的風雨 Silent Storm,Nicholas Teo,0.32,0.42,0.33,0.22
聽雪,Zhang Bichen,0.4,0.34,0.46,0.26
聊傷,Bii,0.3,0.51,0.3,0.16
耳を澄ませば,Suara,0.18,0.5,0.81,0.69
美杜莎  Play World Tour Live,Jolin Tsai,0.28,0.56,0.85,0.34
缺,Hins Cheung,0.46,0.57,0.43,0.25
"練習曲, 作品 10: 第 9番 ヘ短調",Frédéric Chopin,0.13,0.39,0.1,0.09
"練習曲, 作品 10: 第 6番 変ホ短調",Frédéric Chopin,0.1,0.28,0.01,0.04
"練習曲, 作品 10: 第 5番 変ト長調 黒鍵",Frédéric Chopin,0.13,0.35,0.2,0.66
"練習曲, 作品 10: 第 4番 嬰ハ短調",Frédéric Chopin,0.13,0.26,0.28,0.48
"練習曲, 作品 10: 第 3番 ホ長調 別れの曲",Frédéric Chopin,0.12,0.27,0.08,0.04
"練習曲, 作品 10: 第 2番 イ短調",Frédéric Chopin,0.13,0.44,0.27,0.32
"練習曲, 作品 10: 第 1番 ハ長調",Frédéric Chopin,0.15,0.16,0.33,0.12
"練習曲, 作品 10: 第 12番 ハ短調 革命",Frédéric Chopin,0.12,0.23,0.21,0.11
"練習曲 作品 25, 第 5番 ホ短調",Frédéric Chopin,0.11,0.29,0.16,0.08
"練習曲 作品 25, 第 2番 ヘ短調",Frédéric Chopin,0.1,0.18,0.14,0.32
"練習曲 作品 25, 第 1番 変イ長調 エオリアン・ハープ",Frédéric Chopin,0.11,0.29,0.05,0.04
"練習曲 作品 25, 第 12番 ハ短調 大洋",Frédéric Chopin,0.1,0.24,0.26,0.06
"練習曲 作品 25, 第 11番 イ短調 木枯らし",Frédéric Chopin,0.11,0.28,0.39,0.07
維多利亞,JW,0.32,0.53,0.36,0.45
給我一個  新加坡電視劇心情主題曲,文慧如,0.32,0.56,0.55,0.29
細雪,WagakkiBand,0.43,0.34,0.94,0.47
累了就靠著我 Unplugged Originals,Rose Liu,0.38,0.5,0.34,0.44
紅蓮,WagakkiBand,0.28,0.36,0.98,0.47
等你下課,Jay Chou,0.65,0.59,0.46,0.42
空城計演唱會現場版,GAI,0.32,0.76,0.95,0.54
究極の聖戦バトル,Friedrich Habetler,0.55,0.4,0.95,0.39
秋意濃  Live,Li Quan,0.2,0.32,0.31,0.08
私このままでいいのかな  Unchained Ver,BoA,0.15,0.37,0.32,0.51
私このままでいいのかな,BoA,0.32,0.57,0.62,0.17
祝福の音色~楓が真っ赤になる~,Miku Hatsune,0.18,0.64,0.49,0.56
破地獄,MastaMic,0.31,0.92,0.5,0.36
砂漠の子守唄,WagakkiBand,0.31,0.41,0.77,0.4
皮囊,Jam Hsiao,0.29,0.48,0.9,0.12
百里守約 王者榮耀百里守約英雄主打歌,Jam Hsiao,0.23,0.46,0.81,0.49
癡心絕對  Live,Sam Lee,0.4,0.37,0.44,0.1
痛徹心扉 Live,Nicholas Teo,0.22,0.5,0.28,0.13
當下的力量,Endy Chow,0.29,0.44,0.55,0.31
異想天開,Nicholas Tse,0.3,0.34,0.71,0.35
畫一道彩虹電影《戲曲總動員》主題曲,Jocie Kok,0.21,0.46,0.45,0.29
男人背後,Pakho Chau,0.49,0.52,0.51,0.34
産声,Kikuo,0.24,0.35,0.65,0.62
生涯規劃,Janice Vidal,0.36,0.31,0.31,0.37
琵琶湖周航の歌 電影《盛情款待》主題曲 中文版,Julia Wu,0.25,0.37,0.06,0.27
琥珀色の涙,Miwa Sasagawa,0.29,0.53,0.48,0.44
玻尿酸,VaVa,0.33,0.81,0.72,0.29
狼  Live,蘇詩丁,0.2,0.54,0.6,0.38
独歩,WagakkiBand,0.29,0.56,0.41,0.38
物是人非,成龍,0.21,0.61,0.3,0.18
牧馬城市,毛不易,0.32,0.63,0.65,0.31
片目で異常に恋してる,Genie High,0.42,0.68,0.88,0.81
爱超给电,Nathan Hartono,0.29,0.68,0.75,0.76
無雙  劇集 “三個女人一個「因」” 主題曲,Miriam Yeung,0.4,0.64,0.54,0.39
無數個我 系列網路電影《殺無赦》片尾曲  系列網路電影《殺無赦》片尾曲,Eve Ai,0.23,0.4,0.34,0.12
為了等候你,Ariel Tsai,0.35,0.54,0.67,0.79
点描の唄,Mrs GREEN APPLE,0.72,0.5,0.63,0.31
演員的自我修養,Alfred Hui,0.3,0.46,0.58,0.36
漂向北方,黃明志 | GEM鄧紫棋,0.53,0.4,0.82,0.2
溫暖,靳東,0.21,0.44,0.33,0.31
渚のSeadog,Kiyotaka Sugiyama,0.17,0.72,0.82,0.78
清醒夢境 電視劇《南方有喬木》主題曲,William Chan,0.25,0.38,0.76,0.35
浴火成詩,迪麗熱巴,0.42,0.48,0.46,0.41
泣きたいくらい,Sakurako Ohara,0.45,0.58,0.86,0.6
沒離開過 電影《南極之戀》全球推廣曲,Angela Chang,0.41,0.47,0.58,0.13
